word,cat_bit,dom_bit,pol_code,int_bit,tone_code,morph_bit,ipa_clean,x1,x2,x3,x4,x5,x6,x7_hz,x7_norm,x8,x9_re,x9_norm,x10,x11,x11_ord,x12,L,a,b,x13_accent,x14_contour,x15_meter,x16_regularity,morph_type
ぱきぱき,4,0,0,5,1,1,pakipaki,3,8,7,8,1,0,2500.0,8.15,8,11000.0,7.98,6,c,2,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぱくぱく,2,8,0,5,1,1,pakupaku,3,6,6,4,6,4,600.0,4.54,6,4500.0,6.47,7,mh,5,#FFDAB9,89.4,8.1,21.0,4,5,6,1,REDUP(畳語・同一)
ぱくり,2,0,0,5,1,8,pakuɾi,4,7,8,5,6,5,500.0,4.07,7,6000.0,6.95,8,mh,5,#FF8C00,69.5,36.8,75.5,4,6,0,0,RI(り単発)
ぱさぱさ,4,1,0,5,1,1,pasapasa,1,4,2,3,9,0,1200.0,6.29,5,10000.0,7.82,2,c,2,#D2B48C,75.0,5.0,24.4,4,5,6,1,REDUP(畳語・同一)
ぱちくり,4,11,0,5,1,8,patɕikuɾi,2,8,6,3,7,3,1500.0,6.86,8,8000.0,7.44,5,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぱちぱち,2,20480,0,5,1,1,patɕipatɕi,3,8,7,6,3,1,2000.0,7.58,7,13000.0,8.27,7,h,6,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ぱっちり,4,4128,0,5,1,10,pattɕiɾi,3,8,9,9,4,3,1600.0,7.02,8,10000.0,7.82,9,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぱらぱら,4,0,0,5,1,1,paɾapaɾa,1,6,3,1,9,1,900.0,5.56,5,9500.0,7.74,4,mc,3,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぱりっ,4,8,0,5,1,2,paɾiʔ,3,9,9,9,1,0,2800.0,8.44,9,16000.0,8.62,9,c,2,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぱりぱり,2,4105,0,5,1,9,paɾipaɾi,3,8,8,8,1,0,2500.0,8.15,7,14000.0,8.39,8,c,2,#CD853F,61.8,21.4,47.9,4,5,6,1,REDUP(畳語・同一)
ぱー,2,8,0,4,1,16,paː,2,1,1,0,9,3,600.0,4.54,0,2000.0,5.09,1,h,6,#FFD700,86.9,-1.9,87.1,2,7,7,1,LONG(長音ー)
ひしひし,2,4096,0,1,1,1,çiɕiçiɕi,4,6,7,9,3,4,1800.0,7.32,6,9000.0,7.64,8,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
ひそひそ,4,0,0,1,1,1,çisoçiso,1,5,2,9,9,2,2200.0,7.82,5,4000.0,6.27,3,c,2,#2F4F4F,31.3,-11.7,-3.7,4,5,6,1,REDUP(畳語・同一)
ひっそり,4,128,0,1,1,10,çissoɾi,2,2,4,9,9,1,2500.0,8.15,6,500.0,2.73,9,cc,1,#F0F8FF,97.2,-1.3,-4.3,5,5,5,8,COMPOUND(複合・異種)
ひひーん,3,4136,0,1,1,20,çiçiːŋ,4,4,7,3,8,5,1400.0,6.68,1,10000.0,7.82,6,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ひやっ,4,0,0,1,1,2,çijaʔ,3,9,9,6,9,6,1200.0,6.29,9,15000.0,8.51,9,ccc,0,#E0FFFF,97.9,-9.9,-3.4,2,5,0,0,Q(促音単発)
ひゅうひゅう,2,4105,0,1,2,1,çuuçuu,2,3,5,1,9,3,2200.0,7.82,0,12000.0,8.13,5,c,2,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひゅるひゅる,4,1,0,1,1,1,çuɾuçuɾu,2,5,3,2,9,4,1800.0,7.32,3,9000.0,7.64,6,mc,3,#AFEEEE,90.1,-19.6,-6.4,4,5,6,1,REDUP(畳語・同一)
ひょいひょい,4,8,1,1,1,1,çoiçoi,2,7,4,2,9,3,1000.0,5.83,6,4000.0,6.27,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひょっ,4,0,0,1,1,2,çoʔ,3,9,8,8,8,2,1100.0,6.07,9,13000.0,8.27,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ひょっこり,4,9,0,1,1,10,çokkoɾi,3,8,6,5,8,3,900.0,5.56,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ひよひよ,1,1,0,1,1,1,çijoçijo,1,3,2,2,9,6,1300.0,6.49,2,800.0,3.53,2,mh,5,#FFFACD,97.6,-5.4,22.2,4,5,6,1,REDUP(畳語・同一)
ひらひら,4,3,0,1,1,1,çiɾaçiɾa,1,4,2,1,9,2,850.0,5.42,4,5000.0,6.65,3,mc,3,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ひりひり,18,4101,0,1,1,9,çiɾiçiɾi,3,6,7,9,5,1,2400.0,8.04,5,14000.0,8.39,7,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ひんやり,2,4100,0,1,1,12,çiŋjaɾi,3,3,4,6,9,7,750.0,5.1,5,900.0,3.73,8,cc,1,#AFEEEE,90.1,-19.6,-6.4,5,5,5,8,COMPOUND(複合・異種)
ひーひー,2,4096,0,1,1,17,çiːçiː,4,5,4,8,7,6,2200.0,7.82,1,11000.0,7.98,6,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びくびく,4,512,0,3,2,1,bikubiku,6,7,3,9,5,5,400.0,3.51,7,7500.0,7.33,8,c,2,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びくり,3,8,0,3,2,8,bikuɾi,7,8,8,8,6,4,350.0,3.17,8,9500.0,7.74,9,c,2,#000000,0.0,0.0,0.0,4,6,0,0,RI(り単発)
びしびし,4,0,0,3,2,1,biɕibiɕi,7,8,9,9,3,2,1400.0,6.68,7,12000.0,8.13,9,c,2,#000000,0.0,0.0,0.0,4,5,6,1,REDUP(畳語・同一)
びしゃびしゃ,2,4096,0,3,2,1,biɕabiɕa,6,5,3,3,8,9,220.0,2.0,4,18000.0,8.82,9,mc,3,#0000CD,25.0,67.2,-91.5,4,5,6,1,REDUP(畳語・同一)
びしょびしょ,2,4608,0,3,2,1,biɕobiɕo,7,4,2,4,8,9,180.0,1.49,2,17000.0,8.72,9,mc,3,#000080,13.0,47.5,-64.7,4,5,6,1,REDUP(畳語・同一)
びっしょり,2,0,0,3,2,10,biɕɕoɾi,6,5,4,7,7,9,250.0,2.32,7,3000.0,5.78,9,mh,5,#191970,15.9,31.7,-49.6,5,5,5,8,COMPOUND(複合・異種)
びっしり,4,32,0,3,2,10,biɕɕiɾi,7,4,9,9,3,3,1200.0,6.29,8,8500.0,7.55,9,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
びゅんびゅん,4,4128,0,2,2,5,bjumbjuŋ,7,7,9,3,8,4,350.0,3.17,4,15000.0,8.51,8,h,6,#1E90FF,59.4,10.0,-63.4,4,5,6,1,REDUP(畳語・同一)
ぴかっ,4,0,0,5,1,2,pikaʔ,4,9,9,2,9,1,2800.0,8.44,9,20000.0,9.0,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぴかぴか,4,0,0,5,1,1,pikapika,3,6,6,0,9,1,2500.0,8.15,4,18000.0,8.82,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ぴかり,2,4128,0,5,1,8,pikaɾi,3,7,8,3,9,2,2200.0,7.82,6,14000.0,8.39,7,h,6,#FFFACD,97.6,-5.4,22.2,4,6,0,0,RI(り単発)
ぴたっ,4,8,0,5,1,2,pitaʔ,4,9,9,9,5,6,450.0,3.81,9,15000.0,8.51,9,mh,5,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぴたり,4,0,0,5,1,8,pitaɾi,4,8,9,9,6,7,500.0,4.07,8,11000.0,7.98,9,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぴちぴち,2,4104,0,5,1,1,pitɕipitɕi,3,8,7,5,4,8,1800.0,7.32,7,13000.0,8.27,8,mh,5,#87CEEB,79.2,-14.8,-21.3,4,5,6,1,REDUP(畳語・同一)
ぴったり,4,96,0,5,1,10,pittaɾi,5,8,9,9,3,5,650.0,4.74,8,9500.0,7.74,9,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぴょん,2,8,0,4,1,4,pjoŋ,3,8,8,4,8,3,800.0,5.26,8,7000.0,7.22,8,h,6,#FFFFFF,100.0,-0.0,0.0,3,6,0,0,N(撥音単発)
ぴょんぴょん,4,11,0,4,1,5,pjompjoŋ,2,7,6,2,8,4,750.0,5.1,5,6000.0,6.95,7,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぴりっ,2,4352,0,5,1,2,piɾiʔ,3,9,9,9,4,1,2600.0,8.25,9,17000.0,8.72,9,h,6,#FF4500,57.6,67.8,69.0,2,5,0,0,Q(促音単発)
ぴりぴり,8,4,0,5,1,9,piɾipiɾi,4,6,7,9,5,1,2400.0,8.04,6,15000.0,8.51,8,hh,7,#FF0000,53.2,80.1,67.2,4,5,6,1,REDUP(畳語・同一)
ぴん,8,0,0,4,1,4,piŋ,3,7,9,8,4,2,1200.0,6.29,7,10000.0,7.82,9,c,2,#FFFFFF,100.0,-0.0,0.0,3,6,0,0,N(撥音単発)
ぴんぴん,4,4136,0,4,1,5,pimpiŋ,3,6,8,4,5,3,1100.0,6.07,5,8000.0,7.44,8,h,6,#ADFF2F,92.0,-52.5,81.9,4,5,6,1,REDUP(畳語・同一)
ぴーちく,3,12289,0,5,1,16,piːtɕiku,2,5,5,3,8,4,3000.0,8.61,2,11000.0,7.98,4,h,6,#FFFFE0,99.3,-5.1,14.8,5,5,5,8,COMPOUND(複合・異種)
ぴーぴー,3,1,0,4,1,17,piːpiː,2,2,6,4,9,3,2800.0,8.44,0,13000.0,8.27,5,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふうふう,2,0,0,1,2,1,ɸuuɸuu,4,2,2,0,9,7,450.0,3.81,1,7000.0,7.22,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ふかふか,12,2049,1,1,1,1,ɸukaɸuka,2,2,2,1,8,3,350.0,3.17,3,400.0,2.35,3,mh,5,#FFF5EE,97.1,2.2,4.6,4,5,6,1,REDUP(畳語・同一)
ふさふさ,4,3,0,1,1,1,ɸusaɸusa,1,3,1,2,9,2,800.0,5.26,2,2000.0,5.09,2,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふっくら,4,0,0,1,1,2,ɸukkuɾa,3,3,4,5,7,5,300.0,2.78,6,800.0,3.53,6,mh,5,#FFE4E1,92.7,8.7,4.8,5,5,5,8,COMPOUND(複合・異種)
ふっと,4,16385,0,1,1,2,ɸutto,3,9,8,6,9,1,600.0,4.54,9,12000.0,8.13,9,h,6,#FFFFFF,100.0,-0.0,0.0,3,4,0,0,Qto(っと)
ふっふっ,4,16393,0,1,1,3,ɸuɸɸuʔ,2,9,5,7,9,4,500.0,4.07,9,8000.0,7.44,8,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふつふつ,4,0,0,1,1,1,ɸutsuɸutsu,4,6,6,9,6,8,280.0,2.61,5,2500.0,5.47,9,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ふと,4,9,0,1,1,32,ɸuto,2,8,4,3,9,2,450.0,3.81,8,9000.0,7.64,8,h,6,#FFFFFF,100.0,-0.0,0.0,3,5,0,0,OTHER(単発)
ふにゃふにゃ,4,16384,0,1,1,1,ɸuɲaɸuɲa,1,2,1,1,9,9,200.0,1.75,2,300.0,1.87,9,mh,5,#F5DEB3,89.4,1.5,24.0,4,5,6,1,REDUP(畳語・同一)
ふらふら,4,1,0,1,1,1,ɸuɾaɸuɾa,2,4,2,2,9,4,320.0,2.94,4,3500.0,6.04,4,mc,3,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふわふわ,4,4097,0,1,1,1,ɸuwaɸuwa,1,1,1,0,9,2,300.0,2.78,1,100.0,0.0,1,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ふん,4,20512,0,1,1,4,ɸuŋ,4,6,7,8,5,4,220.0,2.0,7,3000.0,5.78,8,h,6,#8B0000,28.1,51.0,41.3,3,6,0,0,N(撥音単発)
ふんわり,4,1,0,1,1,12,ɸuŋwaɾi,2,2,3,0,9,4,280.0,2.61,2,400.0,2.35,3,mh,5,#FFFACD,97.6,-5.4,22.2,5,5,5,8,COMPOUND(複合・異種)
ぶうぶう,3,8,0,3,2,1,buubuu,6,2,4,1,7,7,180.0,1.49,0,1500.0,4.6,7,mc,3,#556B2F,42.2,-18.8,30.6,4,5,6,1,REDUP(畳語・同一)
ぶかぶか,4,4131,0,3,2,1,bukabuka,4,4,2,2,8,3,250.0,2.32,4,4000.0,6.27,5,0,4,#D2B48C,75.0,5.0,24.4,4,5,6,1,REDUP(畳語・同一)
ぶくぶく,4,0,0,3,2,1,bukubuku,7,4,3,5,7,9,140.0,0.85,5,2000.0,5.09,9,mc,3,#0000FF,32.3,79.2,-107.9,4,5,6,1,REDUP(畳語・同一)
ぶすっ,4,0,0,3,2,2,busuʔ,7,9,9,9,4,5,400.0,3.51,9,14000.0,8.39,9,mc,3,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
ぶつくさ,4,0,0,3,2,32,butsukusa,5,6,5,8,6,4,380.0,3.38,6,5000.0,6.65,6,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぶらぶら,4,2,0,3,2,1,buɾabuɾa,5,3,2,1,8,5,280.0,2.61,3,3500.0,6.04,6,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぶらり,2,1,0,3,2,8,buɾaɾi,4,6,6,4,8,4,320.0,2.94,6,4000.0,6.27,5,mc,3,#A0522D,43.8,29.3,35.6,4,6,0,0,RI(り単発)
ぶりしゃり,4,0,0,3,2,8,buɾiɕaɾi,7,8,8,8,3,4,550.0,4.32,7,11000.0,7.98,7,c,2,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ぶるぶる,3,0,0,3,2,1,buɾubuɾu,7,7,4,9,5,5,200.0,1.75,7,9000.0,7.64,8,ccc,0,#0000FF,32.3,79.2,-107.9,4,5,6,1,REDUP(畳語・同一)
ぶわぶわ,4,1,0,3,2,1,buwabuwa,6,4,2,2,9,6,220.0,2.0,2,6000.0,6.95,7,h,6,#FF8C00,69.5,36.8,75.5,4,5,6,1,REDUP(畳語・同一)
ぶんぶん,4,0,0,2,2,5,bumbuŋ,7,6,9,3,8,4,180.0,1.49,4,16000.0,8.62,9,h,6,#191970,15.9,31.7,-49.6,4,5,6,1,REDUP(畳語・同一)
ぶーぶー,4,8,0,2,2,17,buːbuː,6,2,5,2,7,7,160.0,1.19,0,1200.0,4.22,8,c,2,#8B0000,28.1,51.0,41.3,4,5,6,1,REDUP(畳語・同一)
ぷい,4,8,0,5,1,32,pui,3,8,8,6,8,4,600.0,4.54,8,9000.0,7.64,7,h,6,#FFFFFF,100.0,-0.0,0.0,3,5,0,0,OTHER(単発)
ぷかぷか,4,1,0,5,1,1,pukapuka,2,3,2,1,9,3,450.0,3.81,3,100.0,0.0,3,mh,5,#F0FFFF,98.9,-4.9,-1.7,4,5,6,1,REDUP(畳語・同一)
ぷくっ,4,0,0,5,1,2,pukuʔ,4,9,9,8,7,7,350.0,3.17,9,15000.0,8.51,9,mh,5,#FFB6C1,81.1,28.0,5.0,2,5,0,0,Q(促音単発)
ぷよぷよ,4,1,0,5,1,1,pujopujo,3,2,1,4,9,9,220.0,2.0,2,500.0,2.73,9,mh,5,#FF69B4,65.5,64.2,-10.6,4,5,6,1,REDUP(畳語・同一)
ぷりぷり,8,1,0,5,1,9,puɾipuɾi,4,7,7,7,6,8,550.0,4.32,6,4000.0,6.27,8,h,6,#FF1493,56.0,84.5,-5.7,4,5,6,1,REDUP(畳語・同一)
ぷんぷん,4,4,0,4,1,5,pumpuŋ,5,6,8,9,5,6,400.0,3.51,5,9000.0,7.64,9,hh,7,#FF0000,53.2,80.1,67.2,4,5,6,1,REDUP(畳語・同一)
へたへた,4,512,0,1,1,1,hetaheta,5,3,1,4,8,6,250.0,2.32,5,500.0,2.73,5,mc,3,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
へとへと,4,0,0,1,1,1,hetoheto,7,2,1,6,7,7,200.0,1.75,6,300.0,1.87,6,c,2,#2F4F4F,31.3,-11.7,-3.7,4,5,6,1,REDUP(畳語・同一)
へどもど,4,0,0,3,2,32,hedomodo,4,7,3,7,6,5,380.0,3.38,7,6000.0,6.95,6,h,6,#BDB76B,73.4,-8.8,39.3,5,5,5,8,COMPOUND(複合・異種)
へなへな,4,1,0,1,1,1,henahena,1,2,1,1,9,7,220.0,2.0,2,400.0,2.35,6,mh,5,#F5F5DC,95.9,-4.2,12.0,4,5,6,1,REDUP(畳語・同一)
へらへら,4,0,0,1,1,1,heɾaheɾa,1,5,3,0,9,4,600.0,4.54,3,3000.0,5.78,3,h,6,#FFFFE0,99.3,-5.1,14.8,4,5,6,1,REDUP(畳語・同一)
べたべた,2,0,0,3,2,1,betabeta,6,3,2,9,4,9,200.0,1.75,4,1200.0,4.22,9,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
べったり,4,64,0,3,2,10,bettaɾi,7,2,5,9,3,9,180.0,1.49,7,900.0,3.73,9,mc,3,#556B2F,42.2,-18.8,30.6,5,5,5,8,COMPOUND(複合・異種)
べとべと,2,4097,0,3,2,1,betobeto,7,2,1,8,5,9,150.0,1.03,3,1000.0,3.91,9,mc,3,#4B3621,24.5,6.4,16.8,4,5,6,1,REDUP(畳語・同一)
べらべら,4,256,0,3,2,1,beɾabeɾa,5,6,5,1,8,4,450.0,3.81,4,14000.0,8.39,6,h,6,#FF8C00,69.5,36.8,75.5,4,5,6,1,REDUP(畳語・同一)
ぺこぺこ,4,20480,0,5,1,1,pekopeko,3,7,5,3,6,3,500.0,4.07,6,5000.0,6.65,5,h,6,#FFD700,86.9,-1.9,87.1,4,5,6,1,REDUP(畳語・同一)
ぺしゃり,4,1,0,5,1,8,peɕaɾi,5,8,7,6,7,8,350.0,3.17,8,9000.0,7.64,8,mc,3,#808080,53.6,-0.0,0.0,4,6,0,0,RI(り単発)
ぺちゃくちゃ,4,0,0,5,1,32,petɕakutɕa,3,6,4,2,7,9,450.0,3.81,5,15000.0,8.51,9,h,6,#FF69B4,65.5,64.2,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぺちゃんこ,4,0,0,5,1,4,petɕaŋko,6,8,5,8,5,8,280.0,2.61,8,3000.0,5.78,9,mc,3,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぺったんぺったん,4,2,0,5,1,7,pettampettaŋ,6,7,8,7,4,8,220.0,2.0,7,11000.0,7.98,9,mh,5,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぺりぺり,4,1,0,5,1,9,peɾipeɾi,3,8,7,8,3,0,1800.0,7.32,8,12000.0,8.13,6,c,2,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぺろっ,4,258,0,5,1,2,peɾoʔ,2,9,8,4,8,9,1100.0,6.07,9,14000.0,8.39,9,mh,5,#FFB6C1,81.1,28.0,5.0,2,5,0,0,Q(促音単発)
ぺろぺろ,6,4097,0,5,1,1,peɾopeɾo,2,5,4,2,9,9,450.0,3.81,4,2500.0,5.47,9,mh,5,#FFC0CB,83.6,24.1,3.3,4,5,6,1,REDUP(畳語・同一)
ほいほい,4,8,0,1,1,1,hoihoi,2,8,4,1,9,3,1000.0,5.83,7,8000.0,7.44,4,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ほうほけきょ,2,4128,0,1,2,32,houhokekjo,2,4,7,2,8,4,1800.0,7.32,3,12000.0,8.13,6,h,6,#ADFF2F,92.0,-52.5,81.9,3,5,0,0,OTHER(単発)
ほかほか,4,4,0,1,1,1,hokahoka,3,2,2,0,9,5,420.0,3.63,1,400.0,2.35,4,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ほくほく,4,4,0,1,1,1,hokuhoku,4,4,4,5,6,3,350.0,3.17,5,1200.0,4.22,5,hh,7,#DAA520,70.8,8.5,68.8,4,5,6,1,REDUP(畳語・同一)
ほたほた,2,4608,0,1,1,1,hotahota,6,5,3,4,8,8,250.0,2.32,5,2000.0,5.09,8,mc,3,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ほっ,4,1,0,1,1,2,hoʔ,1,9,9,4,9,4,500.0,4.07,9,15000.0,8.51,9,h,6,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ほっそり,4,0,0,1,1,10,hossoɾi,1,3,6,8,9,1,1400.0,6.68,6,900.0,3.73,8,0,4,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
ほつほつ,4,0,0,1,1,1,hotsuhotsu,3,7,6,8,7,4,900.0,5.56,7,6000.0,6.95,6,mc,3,#808080,53.6,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ほとほと,4,512,0,1,1,1,hotohoto,6,2,3,7,7,6,280.0,2.61,4,500.0,2.73,7,c,2,#483D8B,30.8,26.1,-42.1,4,5,6,1,REDUP(畳語・同一)
ほやほや,2,4100,0,1,1,1,hojahoja,2,4,3,0,9,7,480.0,3.97,2,800.0,3.53,3,hh,7,#FFE4E1,92.7,8.7,4.8,4,5,6,1,REDUP(畳語・同一)
ほろっ,4,16385,0,1,1,2,hoɾoʔ,2,9,7,5,9,5,550.0,4.32,9,11000.0,7.98,9,mc,3,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ほんのり,4,0,0,1,1,12,honnoɾi,2,2,3,2,9,4,400.0,3.51,4,600.0,3.04,3,mh,5,#FFF0F5,96.1,5.9,-0.6,5,5,5,8,COMPOUND(複合・異種)
ほんわか,4,4,0,1,1,4,hoŋwaka,1,1,1,0,9,4,320.0,2.94,1,200.0,1.18,2,hh,7,#FFFACD,97.6,-5.4,22.2,5,5,5,8,COMPOUND(複合・異種)
ほーほー,2,4105,0,1,1,17,hoːhoː,3,1,4,2,9,3,250.0,2.32,0,1200.0,4.22,4,mh,5,#F5F5F5,96.5,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぼけっ,2,0,0,3,2,2,bokeʔ,6,9,3,9,7,4,300.0,2.78,9,15000.0,8.51,8,0,4,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぼこぼこ,4,0,0,3,2,1,bokoboko,7,6,6,4,6,9,180.0,1.49,5,2500.0,5.47,9,mh,5,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼさっ,8,2056,0,3,2,2,bosaʔ,6,9,4,9,7,1,400.0,3.51,9,14000.0,8.39,8,c,2,#000000,0.0,0.0,0.0,2,5,0,0,Q(促音単発)
ぼさぼさ,4,1,0,3,2,1,bosabosa,5,3,1,7,7,0,550.0,4.32,3,9000.0,7.64,4,c,2,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼそぼそ,3,0,0,3,2,1,bosoboso,5,4,2,8,7,1,500.0,4.07,4,8000.0,7.44,5,c,2,#708090,52.8,-2.1,-10.6,4,5,6,1,REDUP(畳語・同一)
ぼたり,2,4608,0,3,2,8,botaɾi,7,8,8,7,6,9,240.0,2.22,7,3500.0,6.04,9,mc,3,#556B2F,42.2,-18.8,30.6,4,6,0,0,RI(り単発)
ぼちぼち,4,3,0,3,2,1,botɕibotɕi,5,4,4,6,7,5,400.0,3.51,5,2000.0,5.09,6,mh,5,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぼちゃん,2,4096,0,3,2,4,botɕaŋ,8,8,9,8,5,9,140.0,0.85,8,18000.0,8.82,9,mc,3,#0000CD,25.0,67.2,-91.5,3,6,0,0,N(撥音単発)
ぼってり,4,1,0,3,2,10,botteɾi,8,2,5,9,4,9,160.0,1.19,7,1200.0,4.22,9,mc,3,#8B4513,37.5,26.4,41.0,5,5,5,8,COMPOUND(複合・異種)
ぼてぼて,2,4096,0,3,2,1,botebote,8,3,2,7,5,9,140.0,0.85,3,1100.0,4.07,9,mc,3,#4B3621,24.5,6.4,16.8,4,5,6,1,REDUP(畳語・同一)
ぼやぼや,4,1,0,3,2,1,bojaboja,5,2,1,4,8,5,300.0,2.78,2,1000.0,3.91,5,h,6,#BDB76B,73.4,-8.8,39.3,4,5,6,1,REDUP(畳語・同一)
ぼりぼり,1,1,0,3,2,9,boɾiboɾi,7,7,7,8,2,0,500.0,4.07,7,12000.0,8.13,7,c,2,#8B4513,37.5,26.4,41.0,4,5,6,1,REDUP(畳語・同一)
ぼんやり,4,0,0,3,2,12,boŋjaɾi,6,1,1,9,7,6,180.0,1.49,2,200.0,1.18,8,c,2,#708090,52.8,-2.1,-10.6,5,5,5,8,COMPOUND(複合・異種)
ぽいぽい,4,8,0,5,1,1,poipoi,3,8,4,1,9,3,900.0,5.56,7,9000.0,7.64,5,h,6,#FFFFFF,100.0,-0.0,0.0,4,5,6,1,REDUP(畳語・同一)
ぽかぽか,4,4,0,5,1,1,pokapoka,3,2,2,0,9,4,450.0,3.81,2,500.0,2.73,3,hh,7,#FF4500,57.6,67.8,69.0,4,5,6,1,REDUP(畳語・同一)
ぽかり,4,8,0,5,1,8,pokaɾi,3,8,8,5,9,3,550.0,4.32,7,8000.0,7.44,8,h,6,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぽきっ,4,0,0,5,1,2,pokiʔ,4,9,9,9,2,0,1500.0,6.86,9,16000.0,8.62,9,c,2,#FFFFFF,100.0,-0.0,0.0,2,5,0,0,Q(促音単発)
ぽきぽき,4,9,0,5,1,1,pokipoki,4,8,7,8,2,0,1400.0,6.68,8,14000.0,8.39,7,c,2,#CD853F,61.8,21.4,47.9,4,5,6,1,REDUP(畳語・同一)
ぽきり,2,0,0,5,1,8,pokiɾi,4,8,8,7,3,0,1200.0,6.29,7,10000.0,7.82,8,c,2,#FFFFFF,100.0,-0.0,0.0,4,6,0,0,RI(り単発)
ぽたぽた,4,0,0,5,1,1,potapota,5,6,3,3,9,9,300.0,2.78,5,1500.0,4.6,9,mh,5,#4169E1,47.8,26.3,-65.3,4,5,6,1,REDUP(畳語・同一)
ぽっかり,4,4129,0,5,1,10,pokkaɾi,3,4,7,2,9,3,400.0,3.51,7,4000.0,6.27,8,h,6,#FFFFFF,100.0,-0.0,0.0,5,5,5,8,COMPOUND(複合・異種)
